frame,timestamp,transcript_text
frame_000001.jpg,0.0,
frame_000002.jpg,2.5,
frame_000003.jpg,5.0,
frame_000004.jpg,7.5,
frame_000005.jpg,10.0,
frame_000006.jpg,12.5,
frame_000008.jpg,17.5,
frame_000026.jpg,62.5,
frame_000027.jpg,65.0,
frame_000038.jpg,92.5,
frame_000071.jpg,175.0,
frame_000082.jpg,202.5,
frame_000087.jpg,215.0,
frame_000114.jpg,282.5,
frame_000135.jpg,335.0,
frame_000152.jpg,377.5,
frame_000153.jpg,380.0,
frame_000155.jpg,385.0,
frame_000158.jpg,392.5,
frame_000260.jpg,647.5,
frame_000323.jpg,805.0,
frame_000344.jpg,857.5,
frame_000359.jpg,895.0,
frame_000412.jpg,1027.5,
frame_000455.jpg,1135.0,
frame_000535.jpg,1335.0,
